bank_entry_id,value_date,transaction_type,credit_amount,debit_amount,running_balance,remittance_info,reversal_indicator
CAMT-20260813-10014,2026-08-13,CRDT,9108.27,0.0,10569455.65,ACH-CR-RAZORPAYPAYMENT-INV-10014-setl_qcgMBwUYuBMGhy,False
CAMT-20260817-10090,2026-08-17,CRDT,33020.76,0.0,14226228.82,IMPS-P2A-RAZORPAY-NODAL-TRANSFER-8239,False
CAMT-20260816-10021,2026-08-16,CRDT,50455.48,0.0,10950270.14,CMS/RAZORPAYPAYMENT/INV-10021/UTR314919058651/NODAL,False
CAMT-20260804-10035,2026-08-04,CRDT,25381.51,0.0,11559092.48,NEFT-RAZORPAY-INV-10035-UTR210470952145-UPI,False
CAMT-20260806-10032,2026-08-06,CRDT,16214.24,0.0,11420182.36,IMPS-P2A-INV-10032-SETTLEMENT-setl_gCgHDaUjAPjeEY,False
CAMT-20260811-10086,2026-08-11,CRDT,79538.28,0.0,14031885.13,ACH-CR-RPAY-BULK-SETTLEMENT-11025-HDFC,False
CAMT-20260820-10053,2026-08-20,CRDT,25055.22,0.0,12617046.36,UPI/RPAY/setl_qnjJUMHBhXspth/INV-10053/DIRECT,False
CAMT-20260816-10043,2026-08-16,CRDT,47440.33,0.0,12007929.81,UPI/RPAY/setl_ljKQzejVObfVHn/INV-10043/DIRECT,False
CAMT-20260806-10095,2026-08-06,CRDT,21487.12,0.0,14342013.3,CMS/RAZORPAYPAYMENT/INV-10095/UTR845775901751/NODAL,False
CAMT-20260808-10023,2026-08-08,CRDT,65669.13,0.0,11060929.47,NEFT-RAZORPAY-INV-10023-UTR770143634957-UPI,False
CAMT-20260808-10004,2026-08-08,CRDT,4658.54,0.0,10041726.36,CMS/RAZORPAYPAYMENT/INV-10004/UTR916697848018/NODAL,False
